;chave;NOME;UF;GEOCOD_IBGE;COD_TSE;AJUSTE
0;ac acrelandia;ACRELÂNDIA;AC;1200013;1120;
1;ac assis brasil;ASSIS BRASIL;AC;1200054;1570;
2;ac brasileia;BRASILÉIA;AC;1200104;1058;
3;ac bujari;BUJARI;AC;1200138;1007;
4;ac capixaba;CAPIXABA;AC;1200179;1015;
5;ac cruzeiro do sul;CRUZEIRO DO SUL;AC;1200203;1074;
6;ac epitaciolandia;EPITACIOLÂNDIA;AC;1200252;1112;
7;ac feijo;FEIJÓ;AC;1200302;1139;
8;ac jordao;JORDÃO;AC;1200328;1104;
9;ac mancio lima;MÂNCIO LIMA;AC;1200336;1090;
10;ac manoel urbano;MANOEL URBANO;AC;1200344;1554;
11;ac marechal thaumaturgo;MARECHAL THAUMATURGO;AC;1200351;1040;
12;ac placido de castro;PLÁCIDO DE CASTRO;AC;1200385;1511;
13;ac porto acre;PORTO ACRE;AC;1200807;1023;
14;ac porto walter;PORTO WALTER;AC;1200393;1066;
15;ac rio branco;RIO BRANCO;AC;1200401;1392;
16;ac rodrigues alves;RODRIGUES ALVES;AC;1200427;1082;
17;ac santa rosa do purus;SANTA ROSA DO PURUS;AC;1200435;1031;
18;ac sena madureira;SENA MADUREIRA;AC;1200500;1457;
19;ac senador guiomard;SENADOR GUIOMARD;AC;1200450;1538;
20;ac tarauaca;TARAUACÁ;AC;1200609;1473;
21;ac xapuri;XAPURI;AC;1200708;1490;
22;al agua branca;ÁGUA BRANCA;AL;2700102;27014;
23;al anadia;ANADIA;AL;2700201;27030;
24;al arapiraca;ARAPIRACA;AL;2700300;27057;
25;al atalaia;ATALAIA;AL;2700409;27073;
26;al barra de santo antonio;BARRA DE SANTO ANTÔNIO;AL;2700508;27090;
27;al barra de sao miguel;BARRA DE SÃO MIGUEL;AL;2700607;27111;
28;al batalha;BATALHA;AL;2700706;27138;
29;al belem;BELÉM;AL;2700805;27154;
30;al belo monte;BELO MONTE;AL;2700904;27170;
31;al boca da mata;BOCA DA MATA;AL;2701001;27197;
32;al branquinha;BRANQUINHA;AL;2701100;27219;
33;al cacimbinhas;CACIMBINHAS;AL;2701209;27235;
34;al cajueiro;CAJUEIRO;AL;2701308;27251;
35;al campestre;CAMPESTRE;AL;2701357;27081;
36;al campo alegre;CAMPO ALEGRE;AL;2701407;27278;
37;al campo grande;CAMPO GRANDE;AL;2701506;27294;
38;al canapi;CANAPI;AL;2701605;27316;
39;al capela;CAPELA;AL;2701704;27332;
40;al carneiros;CARNEIROS;AL;2701803;27359;
41;al cha preta;CHÃ PRETA;AL;2701902;27375;
42;al coite do noia;COITÉ DO NÓIA;AL;2702009;27391;
43;al colonia leopoldina;COLÔNIA LEOPOLDINA;AL;2702108;27413;
44;al coqueiro seco;COQUEIRO SECO;AL;2702207;27430;
45;al coruripe;CORURIPE;AL;2702306;27456;
46;al craibas;CRAÍBAS;AL;2702355;28894;
47;al delmiro gouveia;DELMIRO GOUVEIA;AL;2702405;27472;
48;al dois riachos;DOIS RIACHOS;AL;2702504;27499;
49;al estrela de alagoas;ESTRELA DE ALAGOAS;AL;2702553;27049;
50;al feira grande;FEIRA GRANDE;AL;2702603;27510;
51;al feliz deserto;FELIZ DESERTO;AL;2702702;27537;
52;al flexeiras;FLEXEIRAS;AL;2702801;27553;
53;al girau do ponciano;GIRAU DO PONCIANO;AL;2702900;27570;
54;al ibateguara;IBATEGUARA;AL;2703007;27596;
55;al igaci;IGACI;AL;2703106;27618;
56;al igreja nova;IGREJA NOVA;AL;2703205;27634;
57;al inhapi;INHAPI;AL;2703304;27650;
58;al jacare dos homens;JACARÉ DOS HOMENS;AL;2703403;27677;
59;al jacuipe;JACUÍPE;AL;2703502;27693;
60;al japaratinga;JAPARATINGA;AL;2703601;27715;
61;al jaramataia;JARAMATAIA;AL;2703700;27731;
62;al jequia da praia;JEQUIÁ DA PRAIA;AL;2703759;27065;
63;al joaquim gomes;JOAQUIM GOMES;AL;2703809;27758;
64;al jundia;JUNDIÁ;AL;2703908;27774;
65;al junqueiro;JUNQUEIRO;AL;2704005;27790;
66;al lagoa da canoa;LAGOA DA CANOA;AL;2704104;27812;
67;al limoeiro de anadia;LIMOEIRO DE ANADIA;AL;2704203;27839;
68;al maceio;MACEIÓ;AL;2704302;27855;
69;al major isidoro;MAJOR ISIDORO;AL;2704401;27871;
70;al mar vermelho;MAR VERMELHO;AL;2704906;27979;
71;al maragogi;MARAGOGI;AL;2704500;27898;
72;al maravilha;MARAVILHA;AL;2704609;27910;
73;al marechal deodoro;MARECHAL DEODORO;AL;2704708;27936;
74;al maribondo;MARIBONDO;AL;2704807;27952;
75;al mata grande;MATA GRANDE;AL;2705002;27995;
76;al matriz de camaragibe;MATRIZ DE CAMARAGIBE;AL;2705101;28010;
77;al messias;MESSIAS;AL;2705200;28037;
78;al minador do negrao;MINADOR DO NEGRÃO;AL;2705309;28053;
79;al monteiropolis;MONTEIRÓPOLIS;AL;2705408;28070;
80;al murici;MURICI;AL;2705507;28096;
81;al novo lino;NOVO LINO;AL;2705606;28118;
82;al olho dagua das flores;OLHO D'ÁGUA DAS FLORES;AL;2705705;28134;
83;al olho dagua do casado;OLHO D'ÁGUA DO CASADO;AL;2705804;28150;
84;al olho dagua grande;OLHO D'ÁGUA GRANDE;AL;2705903;28177;
85;al olivenca;OLIVENÇA;AL;2706000;28193;
86;al ouro branco;OURO BRANCO;AL;2706109;28215;
87;al palestina;PALESTINA;AL;2706208;28231;
88;al palmeira dos indios;PALMEIRA DOS ÍNDIOS;AL;2706307;28258;
89;al pao de acucar;PÃO DE AÇÚCAR;AL;2706406;28274;
90;al pariconha;PARICONHA;AL;2706422;27022;
91;al paripueira;PARIPUEIRA;AL;2706448;27006;
92;al passo de camaragibe;PASSO DE CAMARAGIBE;AL;2706505;28290;
93;al paulo jacinto;PAULO JACINTO;AL;2706604;28312;
